"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"278","1997",1,"6–0","6","0","",NA,"","SUI","Martina Hingis","USA","Venus Williams","6–0, 6–4","F","WTA","S","USO"
"279","1997",2,"6–4","6","4","",NA,"","SUI","Martina Hingis","USA","Venus Williams","6–0, 6–4","F","WTA","S","USO"
"280","1998",1,"6–3","6","3","",NA,"","USA","Lindsay Davenport","SUI","Martina Hingis","6–3, 7–5","F","WTA","S","USO"
"281","1998",2,"7–5","7","5","",NA,"","USA","Lindsay Davenport","SUI","Martina Hingis","6–3, 7–5","F","WTA","S","USO"
"282","1999",1,"6–3","6","3","",NA,"","USA","Serena Williams","SUI","Martina Hingis","6–3, 7–6(7–4)","F","WTA","S","USO"
"283","1999",2,"7–6","7","6","7–4","7","4","USA","Serena Williams","SUI","Martina Hingis","6–3, 7–6(7–4)","F","WTA","S","USO"
"284","2000",1,"6–4","6","4","",NA,"","USA","Venus Williams","USA","Lindsay Davenport","6–4, 7–5","F","WTA","S","USO"
"285","2000",2,"7–5","7","5","",NA,"","USA","Venus Williams","USA","Lindsay Davenport","6–4, 7–5","F","WTA","S","USO"
"286","2001",1,"6–2","6","2","",NA,"","USA","Venus Williams","USA","Serena Williams","6–2, 6–4","F","WTA","S","USO"
"287","2001",2,"6–4","6","4","",NA,"","USA","Venus Williams","USA","Serena Williams","6–2, 6–4","F","WTA","S","USO"
"288","2002",1,"6–4","6","4","",NA,"","USA","Serena Williams","USA","Venus Williams","6–4, 6–3","F","WTA","S","USO"
"289","2002",2,"6–3","6","3","",NA,"","USA","Serena Williams","USA","Venus Williams","6–4, 6–3","F","WTA","S","USO"
"290","2003",1,"7–5","7","5","",NA,"","BEL","Justine Henin","BEL","Kim Clijsters","7–5, 6–1","F","WTA","S","USO"
"291","2003",2,"6–1","6","1","",NA,"","BEL","Justine Henin","BEL","Kim Clijsters","7–5, 6–1","F","WTA","S","USO"
"292","2004",1,"6–3","6","3","",NA,"","RUS","Svetlana Kuznetsova","RUS","Elena Dementieva","6–3, 7–5","F","WTA","S","USO"
"293","2004",2,"7–5","7","5","",NA,"","RUS","Svetlana Kuznetsova","RUS","Elena Dementieva","6–3, 7–5","F","WTA","S","USO"
"294","2005",1,"6–3","6","3","",NA,"","BEL","Kim Clijsters","FRA","Mary Pierce","6–3, 6–1","F","WTA","S","USO"
